ParticipantID,MotionParallax,TrialNumber,Time,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ
sef,1,1,1.896285,0.04062414,2.893568,-15.43798,356.9435,0.8285797,0.5086706,
sef,1,1,1.908614,0.04058478,2.893578,-15.43799,356.9379,0.8314161,0.5020963,
sef,1,1,1.919085,0.04075939,2.893304,-15.43777,356.95,0.8438275,0.50867,
sef,1,1,1.928928,0.04091968,2.893234,-15.43761,356.954,0.8380492,0.5057921,
sef,1,1,1.941543,0.04088249,2.893239,-15.43762,356.9467,0.8462737,0.4987365,
sef,1,1,1.951391,0.04096118,2.892973,-15.43739,356.9548,0.8380014,0.5145821,
sef,1,1,1.963786,0.0409416,2.893008,-15.43739,356.9633,0.838102,0.5059755,
sef,1,1,1.973554,0.04093556,2.893176,-15.43751,356.9512,0.8320464,0.4979371,
sef,1,1,1.984488,0.04092201,2.893202,-15.43751,356.9542,0.8355287,0.5016609,
sef,1,1,1.995877,0.04088096,2.893314,-15.43756,356.9596,0.8302318,0.5087605,
sef,1,1,2.007119,0.04087638,2.89333,-15.43756,356.9543,0.829497,0.5020235,
sef,1,1,2.019469,0.04090817,2.893293,-15.43756,356.9604,0.8191828,0.4998327,
sef,1,1,2.028992,0.04103556,2.893106,-15.43747,356.9559,0.8289271,0.5056813,
sef,1,1,2.039782,0.04102992,2.893114,-15.43747,356.9477,0.8295394,0.5011644,
sef,1,1,2.051103,0.04098352,2.893369,-15.43756,356.9563,0.8355631,0.5021552,
sef,1,1,2.062092,0.04096634,2.893403,-15.43756,356.9688,0.8315,0.4919082,
sef,1,1,2.073128,0.04093906,2.893357,-15.43762,356.9633,0.8309543,0.50023,
sef,1,1,2.084368,0.04093093,2.893368,-15.43764,356.9534,0.8196471,0.5018253,
sef,1,1,2.095546,0.04071319,2.893456,-15.43776,356.943,0.8239919,0.5092975,
sef,1,1,2.106952,0.0406727,2.893474,-15.43778,356.9494,0.8307237,0.5098526,
sef,1,1,2.118023,0.04111221,2.893121,-15.43761,356.9575,0.8211679,0.4861665,
sef,1,1,2.128865,0.04119726,2.892821,-15.43746,356.9691,0.8168738,0.4727933,
sef,1,1,2.140047,0.0411605,2.892936,-15.43753,356.9505,0.8288946,0.4698857,
sef,1,1,2.151359,0.04100337,2.893308,-15.43781,356.9407,0.8189148,0.4630109,
sef,1,1,2.162413,0.04099716,2.893305,-15.43783,356.9432,0.8303366,0.4669944,
sef,1,1,2.173341,0.04105943,2.892947,-15.43759,356.9557,0.8301924,0.4742258,
sef,1,1,2.184793,0.04104728,2.892939,-15.4376,356.9503,0.8342454,0.4724839,
sef,1,1,2.195993,0.0409856,2.893081,-15.4376,356.9532,0.8257636,0.4815049,
sef,1,1,2.206759,0.04096168,2.893109,-15.43762,356.9503,0.822426,0.4724299,
sef,1,1,2.217825,0.04092433,2.893115,-15.43764,356.9481,0.8266767,0.47288,
sef,1,1,2.230615,0.04117803,2.892992,-15.43748,356.9479,0.8388811,0.4636607,
sef,1,1,2.24053,0.04117285,2.892993,-15.43749,356.9435,0.8386432,0.4593115,
sef,1,1,2.251071,0.04103971,2.893049,-15.43757,356.9373,0.8395189,0.4619226,
sef,1,1,2.262233,0.04105102,2.893061,-15.43757,356.9444,0.8318295,0.4716823,
sef,1,1,2.273799,0.04102442,2.893083,-15.43755,356.9478,0.8323286,0.460864,
sef,1,1,2.290368,0.04103079,2.89309,-15.43756,356.9416,0.832562,0.4699624,
sef,1,1,2.29599,0.04115771,2.892658,-15.43732,356.9476,0.8322779,0.4672176,
sef,1,1,2.311645,0.04115514,2.892655,-15.43732,356.9556,0.8375271,0.4753556,
sef,1,1,2.323754,0.04113896,2.892665,-15.43736,356.9581,0.8328298,0.4691298,
sef,1,1,2.329172,0.04112329,2.89256,-15.43728,356.9518,0.8371615,0.4812107,
sef,1,1,2.339977,0.04110833,2.892553,-15.43729,356.9475,0.8360366,0.4794445,
sef,1,1,2.351804,0.04106389,2.892515,-15.43724,356.9435,0.8432317,0.4915007,
sef,1,1,2.362604,0.04104472,2.892508,-15.43724,356.9486,0.8385787,0.4836957,
sef,1,1,2.373363,0.04117496,2.892342,-15.43715,356.9455,0.8396856,0.4904671,
sef,1,1,2.385424,0.04116704,2.892338,-15.43715,356.9462,0.837172,0.4883731,
sef,1,1,2.39565,0.04131401,2.892076,-15.43693,356.9545,0.8367606,0.4783849,
sef,1,1,2.406524,0.04114731,2.892464,-15.43724,356.9499,0.8405739,0.4807308,
sef,1,1,2.417624,0.04115884,2.892447,-15.43725,356.9431,0.8361574,0.4817721,
sef,1,1,2.428545,0.04109901,2.892777,-15.43742,356.9353,0.8456871,0.478237,
sef,1,1,2.440269,0.04110396,2.892789,-15.43743,356.9364,0.8417897,0.4727304,
sef,1,1,2.450906,0.04096891,2.893039,-15.43754,356.942,0.8422002,0.4776408,
sef,1,1,2.462071,0.04096502,2.893039,-15.43755,356.9361,0.8434115,0.4789357,
sef,1,1,2.473067,0.04090668,2.893222,-15.43768,356.9397,0.833552,0.4741472,
